Time,APM1 CPU,APM1 Memory,APM2 CPU,APM2 Memory,APM3 CPU,APM3 Memory,APM4 CPU,APM4 Memory,APM5 CPU,APM5 Memory,APM6 CPU,APM6 Memory
310,0.0,0.0,0.0,0.0,37.7,0.0,2.3,0.0,14.1,4.7,0.0,1.9
315,0.0,0.0,0.0,0.0,37.7,0.0,2.3,0.0,14.5,4.7,0.0,2.0
320,0.0,0.0,0.0,0.0,37.7,0.0,2.3,0.0,14.9,0.0,0.0,2.0
325,0.0,0.0,0.0,0.0,38.2,0.0,2.4,0.0,14.6,0.0,0.0,2.0
330,0.0,0.0,0.0,0.0,38.7,0.0,2.4,0.0,14.4,0.0,0.0,2.0
335,0.0,0.0,0.0,0.0,39.0,0.0,2.4,0.0,14.2,0.0,0.0,2.1
340,0.0,0.0,0.0,0.0,38.5,0.0,2.4,0.0,14.0,0.0,0.0,2.1
345,0.0,0.0,0.0,0.0,37.9,0.0,2.4,0.0,13.8,0.0,0.0,2.1
350,0.0,0.0,0.0,0.0,37.5,0.0,2.4,0.0,13.6,0.0,0.0,2.1
355,0.0,0.0,0.0,0.0,37.0,0.0,2.4,0.0,13.5,0.0,0.0,2.1
360,0.0,0.0,0.0,0.0,36.4,0.0,2.4,0.0,13.3,0.0,0.0,2.1
365,0.0,0.0,0.0,0.0,36.0,0.0,2.4,0.0,13.1,0.0,0.0,2.2
370,0.0,0.0,0.0,0.0,35.5,0.0,2.4,0.0,13.0,0.0,0.0,2.2
375,0.0,0.0,0.0,0.0,35.9,0.0,2.4,0.0,12.8,0.0,0.0,2.3
380,0.0,0.0,0.0,0.0,36.4,0.0,2.4,0.0,12.6,0.0,0.0,2.3
385,0.0,0.0,0.0,0.0,36.6,0.0,2.4,0.0,12.7,3.9,0.0,2.3
390,0.0,0.0,0.0,0.0,36.7,0.0,2.4,0.0,13.0,3.9,0.0,2.3
395,0.0,0.0,0.0,0.0,36.6,0.0,2.4,0.0,13.3,3.9,0.0,2.4
400,0.0,0.0,0.0,0.0,36.6,0.0,2.5,0.0,13.7,3.9,0.0,2.4
405,0.0,0.0,0.0,0.0,36.7,0.0,2.5,0.0,14.0,3.9,0.0,2.4
410,0.0,0.0,0.0,0.0,36.6,0.0,2.5,0.0,14.3,3.9,0.0,2.5
415,0.0,0.0,0.0,0.0,36.6,0.0,2.4,0.0,14.5,3.9,0.0,2.5
420,0.0,0.0,0.0,0.0,36.9,0.0,2.5,0.0,14.6,0.0,0.0,2.5
425,0.0,0.0,0.0,0.0,37.2,0.0,2.5,0.0,14.4,0.0,0.0,2.5
430,0.0,0.0,0.0,0.0,36.7,0.0,2.5,0.0,14.2,0.0,0.0,2.6
435,0.0,0.0,0.0,0.0,36.3,0.0,2.5,0.0,14.1,0.0,0.0,2.6
440,0.0,0.0,0.0,0.0,36.0,0.0,2.5,0.0,14.0,0.0,0.0,2.6
445,0.0,0.0,0.0,0.0,35.6,0.0,2.5,0.0,13.8,0.0,0.0,2.6
